title,company,country,description,url,skills
Softwareentwicklung SPS- Automation m/w/x,Wintersteiger Holding AG,Austria,Wir verstärken unser Team und suchen Softwareentwicklung SPS- Automation m/w/x Vollzeit Ried im Innkreis Sie haben Freude in der Programmierung von SPS- Steuerungen und innovativen Softwarelösungen? Sie schätzen die Möglichkeit eigene Ideen einzubringen und diese mit Gestaltungsspielraum eigenverantwortlich umzusetzen? Dann Willkommen im Softwaretechnik-Team von WINTERSTEIGER! Im Bereich Softwareentwicklung SPS-Automation * sind Sie für die Entwicklung von Softwarelösungen für unsere innovative…,https://www.adzuna.at/land/ad/5723051233?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=2E9406132A1B44BB363507C4FFAD5B72A2999168,
SAP Schnittstellen & Systemintegration Spezialist*in,LINZ AG,Austria,"Ihr nächstes Update Ein neuer Job bei der LINZ AG als SAP Schnittstellen & Systemintegration Spezialistin Big Data, Machine Learning oder IoT sind für uns keine Fremdwörter. Als zentraler IT-Dienstleister für die LINZ AG sind wir die treibende Kraft, damit sich in der Region etwas bewegt. Mit uns gelingt die digitale Energiewende. Wir wissen, was wir können und verfolgen im Team unsere Ziele mit Ausdauer und Begeisterung. Mit unserer Tätigkeit stiften wir Sinn - für Mensch, Natur und Gesellscha…",https://www.adzuna.at/land/ad/5743253114?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=04ACAB525D010335ED322A527116A90DB0071F35,"ner, git"
Software-Entwickler:in KI/AI/C#/.NET (m/f/x),ITS Immobilien Treuhand Software GmbH,Austria,"Wir suchen zur Verstärkung unseres Teams einen engagierten und kreativen Softwareentwickler:in mit Schwerpunkt KI-Entwicklung. Auch wenn wir im Bereich Immobilienverwaltungs-Software tätig sind, bieten wir dir die Möglichkeit, innovative KI-Lösungen zu entwickeln und dein Know-how in spannenden und abwechslungsreichen Projekten einzubringen, die weit über den Tellerrand hinausgehen. Aufgaben Weiterentwicklung unseres eigenen KI-Webservice. Die Zentrale Schaltstelle unseres Unternehmens. Entwick…",https://www.adzuna.at/details/5650585389?utm_medium=api&utm_source=fec1d0ee,
Spectacles Student Worker- Computer Vision Engineering,Snap Inc.,Austria,"Snap Inc (https://www.snap.com/en-US/) is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. The Company's three core products are Snapchat (https://www.snapchat.com/) , a visual messaging app that enhances your relationships with friends, family, and the world; Lens Studio (htt…",https://www.adzuna.at/land/ad/5675792077?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=6D660EC3784DCD7890681F6945673513277E3F16,
Vermessungs- und Geo-Dateningenieur*in,LINZ AG,Austria,"Ihr nächstes Projekt Ein neuer Job bei der LINZ AG als Vermessungs- und Geo-Dateningenieurin Big Data, Machine Learning oder IoT sind für uns keine Fremdwörter. Als zentraler IT-Dienstleister für die LINZ AG sind wir die treibende Kraft, damit sich in der Region etwas bewegt. Mit uns gelingt die digitale Energiewende. Wir wissen, was wir können und verfolgen im Team unsere Ziele mit Ausdauer und Begeisterung. Mit unserer Tätigkeit stiften wir Sinn - für Mensch, Natur und Gesellschaft - und trag…",https://www.adzuna.at/land/ad/5723068360?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=E1F4EDFE6DD09B1ED27F7385C47E2EF25DE7B114,"rag, ner, git"
Datenbank Engineer,LINZ AG,Austria,"Ihr nächster Click Ein neuer Job bei der LINZ AG als Datenbank Engineer Big Data, Machine Learning oder IoT sind für uns keine Fremdwörter. Als zentraler IT-Dienstleister für die LINZ AG sind wir die treibende Kraft, damit sich in der Region etwas bewegt. Mit uns gelingt die digitale Energiewende. Wir wissen, was wir können und verfolgen im Team unsere Ziele mit Ausdauer und Begeisterung. Mit unserer Tätigkeit stiften wir Sinn - für Mensch, Natur und Gesellschaft - und tragen mit innovativen Pr…",https://www.adzuna.at/land/ad/5736188456?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=54F4D5A88DDB3E10E8DC5142C157AC7A19BA507D,"rag, ner, git"
BI Developer* - Fokus Power BI & Python,BAWAG Group,Austria,"BI Developer* - Fokus Power BI & Python BAWAG Group ist die börsennotierte Holdinggesellschaft der BAWAG, die mit mehr als 4 Mio. Kunden eine der größten Banken in Österreich ist. Als dynamischer Arbeitgeber fördern wir Talente und treiben technologische Innovationen schnell voran. Flache Hierarchien, ein flexibles Arbeitsumfeld und Chancengleichheit für unsere Mitarbeiterinnen und Mitarbeiter sind uns dabei besonders wichtig. Deine Aufgaben * Entwicklung und Wartung komplexer Power BI Reports …",https://www.adzuna.at/land/ad/5728902640?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=39E88A7F3C9771667B27E3A581ECB011A5699592,python
Software Engineer (m/w/d),Translogica GmbH,Austria,"Software Engineer (m/w/d) Innsbruck, Wien Suchst du nach einer Herausforderung, die dein Entwicklerherz höher schlagen lässt? Bist du ein erfahrener Entwickler oder ein aufstrebendes Talent, das bereit ist, sich in einem dynamischen Team zu beweisen? Dann bist du bei uns genau richtig! Wir sind ein renommiertes Tiroler Software-Unternehmen mit Hauptsitz in Innsbruck und Offices in Wien, Krems, Kempten und Hamburg. Wir beschäftigen rund 120 engagierte Mitarbeiter*innen. Unser eigentümergeführtes…",https://www.adzuna.at/land/ad/5723067420?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=E2C5F09E997C49275669278CBFE10C0CF2EF84AB,ner
Spezialist*in Geoinformatik,LINZ AG,Austria,"Ihr nächstes Update Ein neuer Job bei der LINZ AG als Spezialistin Geoinformatik Big Data, Machine Learning oder IoT sind für uns keine Fremdwörter. Als zentraler IT-Dienstleister für die LINZ AG sind wir die treibende Kraft, damit sich in der Region etwas bewegt. Mit uns gelingt die digitale Energiewende. Wir wissen, was wir können und verfolgen im Team unsere Ziele mit Ausdauer und Begeisterung. Mit unserer Tätigkeit stiften wir Sinn - für Mensch, Natur und Gesellschaft - und tragen mit innov…",https://www.adzuna.at/land/ad/5723068537?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=928EA458F0AF4F24825B9CEE10EC0E4A96DF7FC3,"rag, ner, git"
Research Engineer for Telemetry Algorithms (m/w/d),MED-EL Elektromedizinische Geräte GmbH,Austria,"RDSP_22605 Research Engineer for Telemetry Algorithms (m/w/d) Research & Development Innsbruck, Österreich Fachkräfte Vollzeit 38,5 h Unbefristet Bewerben Ihre Aufgaben * Entwicklung und Bewertung neuer Telemetrie Algorithmen zur funktionellen Überprüfung von Cochlea Implantaten sowie für fortgeschrittene Anpassungsprozesse * Sammlung und Analyse relevanter Daten * Erstellung entsprechender Produktspezifikationen * Zusammenarbeit mit anderen internen Abteilungen sowie mit externen Partner*innen…",https://www.adzuna.at/land/ad/5737417808?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=2B9AB957C3F5A25D095F8B988BAE7D185129D560,ner
Software-Backend-Entwickler mit Leidenschaft für KI (m/w/x),EV Group ,Austria,"Software-Backend-Entwickler mit Leidenschaft für KI (m/w/x) - Standort Linz * Vollzeit * Ohne Berufserfahrung * Hafenstraße 47-51, 4020 Linz / Industriezeile 54, 5280 Braunau am Inn Als Softwareentwickler*in mit fundierter Expertise in objektorientierter Programmierung (OOP), Datenstrukturen und Python-Backend-Entwicklung unterstützt du uns dabei, unsere innovativen KI-Produkte voranzutreiben und die Zukunft der Technologie mitzugestalten. In dieser Rolle entwickelst du moderne, skalierbare Sof…",https://www.adzuna.at/land/ad/5723052540?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=DE9085BCCD4C80D6B297C8C19DBC79D5E5C3A5A0,python
Techniker (w/m/d) Gewährleistung / Service Solutions,Wacker Neuson,Austria,"Sie möchten Ihre Begeisterung für die Technik von Baumaschinen , Datenanalyse und Service miteinander verbinden? Dann verstärken Sie unsern Bereich Aftersales im Team Gewährleistung am Standort Hörsching als Techniker (w/m/d) - Gewährleistung / Service Solutions Ihre Aufgaben bei uns * Projektbegleitung bzw. (Teil-)Projektleitung beim Aufbau KIgestützter Daten- und Analysemodelle aus Telematik-, Service- und SAP-Daten zur systematischen Frühwarnidentifikation. * Analyse von Qualitäts- und Servi…",https://www.adzuna.at/land/ad/5723052358?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=FF755EDB8D9A032BF23694FB06292A7A9E811758,
Softwareentwickler C# (w/m/d),KERN engineering careers GmbH,Austria,"Softwareentwickler C# (w/m/d) Vollzeit oder Teilzeit möglich :) 21.05.2026 Job-Nr.: 216519 Jetzt Bewerben Du möchtest an modernen Softwarelösungen, Algorithmen und datengetriebenen Anwendungen arbeiten, die reale industrielle Prozesse effizienter machen? In dieser Rolle entwickelst du gemeinsam mit einem innovativen Team intelligente Lösungen für komplexe technische Systeme und bringst dein Know-how in C#, Mathematik, Datenanalyse und Automatisierung aktiv ein. Gleisdorf Software Engineering Au…",https://www.adzuna.at/land/ad/5723901332?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=876102732E9E86CA252F124A359DC518C6101F3B,
Full Stack Developer: Geospatial & ML Systems,cyclomedia,Austria,"Salary: €70,000 (Scaling with qualification/seniority) Core Tech: .NET, Python, React (Modern Frontend) Focus: Bridging the gap between High-Resolution Data and Machine Learning The Role As a Full Stack Developer at Cyclomedia, you won’t be boxed into a single application. You will be working across our software ecosystem. Your mission is to build the internal platforms and user-facing tools that process, visualize, and label the world’s most accurate street-level data. You will act as the tech…",https://www.adzuna.at/details/5661062051?utm_medium=api&utm_source=fec1d0ee,python
Data Engineer (gn*),TÜV AUSTRIA,Austria,"4.000 People. 35 Countries. LivingTheFuture. TÜV AUSTRIA - Das unabhängige, österreichische Unternehmen für Testing, Inspection und Certification, Training & Consulting. Wir liefern unseren Kunden den entscheidenden Mehrwert für nachhaltige und flexible Lösungen durch technische Sicherheit - in Österreich und in mehr als 35 Ländern der Welt. Wenn auch Sie die Welt ein Stück sicherer machen wollen, bewerben Sie sich als Data Engineer (gn*) (Jn. 265359) Bringen Sie KI-Innovationen von der Idee in…",https://www.adzuna.at/land/ad/5723067641?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=35A21D8970804AE8669B687FDBFFC692E62D2EB7,
Lectureship Deep Learning & Explainable AI,Fachhochschule Salzburg,Austria,"Lectureship Deep Learning & Explainable AI Salzburg University of Applied Sciences employs 450 staff members at its four campuses: Campus Urstein, Campus Kuchl, Campus Uniklinikum Salzburg, and Campus Schwarzach. In 18 bachelor's and 15 master's degree programs, 3,400 students train in the fields of engineering, business and social sciences, design, media & art, as well as health sciences. More information at www.fh-salzburg.ac.at. We are advertising the following position as an external lectur…",https://www.adzuna.at/land/ad/5750221890?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=0D1B7635819C0EE5C3C877B9CFC9DF4E1145249F,
Data Engineer (Data Quality & Operations),Institut AllergoSan Pharma GmbH,Austria,"Data Engineer (Data Quality & Operations) m/w/d Vollzeit Graz Schwerpunkte * Verantwortung für die operative Datenbereinigung sowie die Sicherstellung der Datenqualität im Rahmen von Datenprojekten * Konzeption und Aufbau einer belastbaren, skalierbaren Datenstruktur als Grundlage für zukünftige Automatisierungen und datengetriebene Auswertungen * Fundierte Erfahrung im Umgang mit komplexen Datensätzen sowie in der Gestaltung und Optimierung von Datenverarbeitungsprozessen * Ganzheitliche End-t…",https://www.adzuna.at/land/ad/5723069260?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=04EE8778AE2E0492E4F7685EBADF2E57D479A16F,"ner, gan"
Data Insights Editor,Stats Perform,Austria,"Stats Perform ist der weltweit führende Anbieter im Bereich Sporttechnologie. Wir liefern die vertrauenswürdigsten und präzisesten Sportdaten an einige der größten Organisationen weltweit – in den Bereichen Sport, Medien und Broadcasting. Mithilfe modernster KI-Technologien und Machine Learning verknüpfen wir jahrzehntelange Datensammlungen mit aktuellen Ereignissen aus dem Spielgeschehen. So ermöglichen wir Trainern, Teams, Verbänden und Medienhäusern weltweit den Zugang zu hochwertigen Daten,…",https://www.adzuna.at/land/ad/5743555107?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=E5359035EC535EF7585D355953A99C391318C83B,"ner, gan"
"Development Engineer, Sound Coding (m/w/d)",MED-EL Medical Electronics,Austria,"RDSP_12604 Development Engineer, Sound Coding (m/w/d) Research & Development Innsbruck, Österreich FachkräfteVollzeit 38,5 hUnbefristet Bewerben Ihre Aufgaben Entwicklung und Test von Audiosignalverarbeitungssystemen Implementierung, Verifikation und Dokumentation von energieeffizienten Echtzeit-Signalverarbeitungsalgorithmen auf DSP Hardwareplattform- und Digitaldesign für Signalverarbeitungssysteme Anwendung von Machine-Learning-Methoden auf Audiosignalverarbeitungsalgorithmen Erstellung rele…",https://www.adzuna.at/details/5699699732?utm_medium=api&utm_source=fec1d0ee,"ner, git"
(Junior) Data Analyst,Institut AllergoSan Pharma GmbH,Austria,"(Junior) Data Analyst m/w/d Vollzeit Graz Schwerpunkte * Erhebung, Analyse und Reporting der relevanten KPIs * Konzeption und Umsetzung von Datamining-Projekten in verschiedenen Bereichen * Koordination neuer Datenprojekte, Erschließung neuer Datenquellen, Aufbau von Datenpipelines / ETL Jobs und Bereitstellung datengetriebener Insights * Unterstützung und Optimierung der vertrieblichen Planungs- und Prognoseprozesse mit Hilfe statistischer Methoden und Machine Learning * Mitwirkung beim Aufbau…",https://www.adzuna.at/land/ad/5723048124?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=C826E01423A733AE0D6B3016F056E129B079AE00,ner
